cdc_campus	denominator	BothAlllevelstoDidNotMeet_1	BothAlllevelstoApproaches1	BothAlllevelstoMeets_1	BothAlllevelstoMasters_NA	year_growth_num	year_growth_rate
001902001	86	1	8	35	20	64	0.744186046511628
001902041	218	7	29	36	61	133	0.610091743119266
001902103	182	12	16	27	74	129	0.708791208791209
001903001	161	10	6	49	44	109	0.677018633540373
001903041	483	22	85	89	115	311	0.643892339544513
001903102	326	10	49	53	146	258	0.791411042944785
001904001	75	3	5	27	11	46	0.613333333333333
001904041	349	16	43	63	93	215	0.616045845272206
001904102	252	9	30	28	81	148	0.587301587301587
001906002	39	1	2	19	8	30	0.769230769230769
001906102	255	6	56	45	55	162	0.635294117647059
001907001	445	32	23	132	104	291	0.653932584269663
001907041	949	106	206	172	197	681	0.717597471022129
001907110	1389	134	243	178	272	827	0.595392368610511
001908002	181	14	15	44	21	94	0.519337016574586
001908041	443	51	93	69	84	297	0.670428893905192
001908101	619	72	116	67	92	347	0.560581583198708
001909001	57	2	0	15	5	22	0.385964912280702
001909101	270	4	61	58	61	184	0.681481481481481
002901001	587	37	23	135	161	356	0.606473594548552
002901002	1	1	0	0	0	1	1
002901041	1878	130	356	298	349	1133	0.603301384451544
002901104	1193	93	213	158	261	725	0.607711651299246
003801001	122	4	11	32	50	97	0.795081967213115
003801042	478	19	108	69	90	286	0.598326359832636
003801103	332	13	51	49	124	237	0.713855421686747
003902001	357	5	19	109	101	234	0.65546218487395
003902004	1	0	0	0	0	0	0
003902041	1289	38	135	242	455	870	0.674941815360745
003902102	817	34	139	114	283	570	0.697674418604651
003903001	929	64	65	203	190	522	0.56189451022605
003903004	2	2	0	0	0	2	1
003903044	3182	227	516	494	729	1966	0.617850408548083
003903120	298	20	55	69	74	218	0.731543624161074
003903121	493	63	96	71	149	379	0.768762677484787
003903122	364	49	66	51	63	229	0.629120879120879
003903123	292	31	73	48	75	227	0.777397260273973
003903129	591	65	137	99	102	403	0.681895093062606
003904001	242	7	9	59	60	135	0.557851239669422
003904041	728	59	109	148	189	505	0.693681318681319
003904102	437	20	95	66	108	289	0.661327231121281
003905001	216	10	11	59	25	105	0.486111111111111
003905041	805	52	126	156	159	493	0.612422360248447
003905103	511	62	133	75	109	379	0.741682974559687
003906001	181	12	25	36	27	100	0.552486187845304
003906101	90	6	15	11	24	56	0.622222222222222
003907001	160	13	11	34	35	93	0.58125
003907041	760	61	119	157	230	567	0.746052631578947
003907102	223	5	25	33	44	107	0.479820627802691
004901001	353	23	16	102	116	257	0.728045325779037
004901041	1170	99	194	164	220	677	0.578632478632479
004901101	761	62	146	101	180	489	0.64257555847569
005901001	215	7	17	46	73	143	0.665116279069767
005901101	210	6	28	39	71	144	0.685714285714286
005902001	125	3	6	39	38	86	0.688
005902041	464	14	43	96	159	312	0.672413793103448
005902101	310	16	44	56	99	215	0.693548387096774
005904001	52	1	1	15	11	28	0.538461538461538
005904041	180	4	20	31	61	116	0.644444444444444
005904101	108	2	11	13	58	84	0.777777777777778
006902001	138	6	20	36	40	102	0.739130434782609
006902101	162	7	27	27	55	116	0.716049382716049
007901001	64	3	6	13	7	29	0.453125
007901041	242	17	42	40	33	132	0.545454545454545
007901101	74	9	15	4	13	41	0.554054054054054
007902001	192	13	10	42	49	114	0.59375
007902041	634	35	119	129	160	443	0.698738170347003
007902101	455	36	102	51	89	278	0.610989010989011
007904001	192	15	21	33	2	71	0.369791666666667
007904041	754	83	159	118	89	449	0.595490716180371
007904101	479	61	96	64	72	293	0.611691022964509
007905001	451	20	31	159	96	306	0.678492239467849
007905041	1445	140	238	194	195	767	0.530795847750865
007905103	1027	121	170	101	166	558	0.543330087633885
007906001	191	14	7	70	20	111	0.581151832460733
007906041	716	45	143	107	96	391	0.54608938547486
007906102	453	48	86	79	77	290	0.640176600441501
008901001	298	12	16	86	40	154	0.516778523489933
008901041	980	57	171	155	268	651	0.664285714285714
008901102	550	40	96	84	130	350	0.636363636363636
008901105	98	1	20	12	30	63	0.642857142857143
008902001	343	28	21	100	62	211	0.615160349854227
008902041	1161	84	181	195	228	688	0.592592592592593
008902102	428	45	87	78	122	332	0.775700934579439
008902104	428	52	102	37	76	267	0.623831775700935
008903001	82	2	7	23	14	46	0.560975609756098
008903041	387	17	67	90	110	284	0.733850129198966
008903102	228	30	43	25	38	136	0.596491228070175
009901001	156	11	11	41	30	93	0.596153846153846
009901002	1	0	0	0	0	0	0
009901041	625	51	135	99	71	356	0.5696
009901101	397	52	67	44	55	218	0.54911838790932
010901001	200	11	35	39	32	117	0.585
010902001	234	17	13	67	15	112	0.478632478632479
010902041	970	55	164	134	168	521	0.537113402061856
010902101	329	20	59	51	78	208	0.632218844984802
010902102	288	29	70	44	55	198	0.6875
011901001	557	61	29	138	46	274	0.491921005385996
011901002	617	55	59	151	72	337	0.546191247974068
011901005	72	0	4	32	20	56	0.777777777777778
011901022	3	2	0	0	0	2	0.666666666666667
011901041	1505	203	280	259	258	1000	0.664451827242525
011901101	243	29	26	21	54	130	0.534979423868313
011901102	264	7	31	28	94	160	0.606060606060606
011901103	268	25	37	21	61	144	0.537313432835821
011901104	1533	146	222	185	304	857	0.559034572733203
011901106	1703	245	351	231	231	1058	0.62125660598943
011901107	226	27	30	22	25	104	0.460176991150442
011901108	1706	139	242	151	233	765	0.44841735052755
011901109	292	32	44	23	63	162	0.554794520547945
011901110	221	25	35	25	32	117	0.529411764705882
011902001	493	41	44	125	21	231	0.468559837728195
011902004	1	0	0	0	0	0	0
011902041	1879	227	351	268	206	1052	0.559872272485365
011902101	424	81	96	49	40	266	0.627358490566038
011902102	371	66	83	36	63	248	0.668463611859838
011902103	350	58	60	39	43	200	0.571428571428571
011904002	211	10	13	64	23	110	0.52132701421801
011904041	737	60	128	107	142	437	0.592944369063772
011904101	503	57	103	65	98	323	0.642147117296223
011905001	173	13	29	23	22	87	0.502890173410405
011905101	126	9	33	17	35	94	0.746031746031746
012901001	70	1	3	19	24	47	0.671428571428571
012901042	330	8	39	56	104	207	0.627272727272727
012901101	82	1	11	19	34	65	0.792682926829268
013801101	326	10	49	59	66	184	0.56441717791411
013901001	382	31	35	98	70	234	0.612565445026178
013901004	28	0	0	12	6	18	0.642857142857143
013901041	1238	127	263	176	82	648	0.523424878836834
013901042	215	0	6	42	88	136	0.632558139534884
013901101	408	33	78	51	78	240	0.588235294117647
013901102	427	70	102	44	55	271	0.634660421545667
013902101	112	1	19	20	27	67	0.598214285714286
013903001	222	22	44	45	18	129	0.581081081081081
013903101	110	8	36	14	15	73	0.663636363636364
013905001	107	4	3	31	19	57	0.532710280373832
013905041	360	17	69	72	91	249	0.691666666666667
013905101	248	13	65	51	47	176	0.709677419354839
014801001	10	2	1	0	0	3	0.3
014801002	64	3	3	6	0	12	0.1875
014801004	22	3	2	1	0	6	0.272727272727273
014801005	12	0	1	1	0	2	0.166666666666667
014801006	8	0	0	0	0	0	0
014801007	28	1	2	2	0	5	0.178571428571429
014801008	23	0	1	0	0	1	0.0434782608695652
014801009	4	1	0	0	0	1	0.25
014801010	14	1	0	1	0	2	0.142857142857143
014803002	42	3	8	4	9	24	0.571428571428571
014803003	140	14	32	27	22	95	0.678571428571429
014803004	121	9	28	24	29	90	0.743801652892562
014803101	195	22	31	35	36	124	0.635897435897436
014804005	12	1	0	3	0	4	0.333333333333333
014804006	1099	10	105	195	415	725	0.659690627843494
014804007	52	5	7	4	11	27	0.519230769230769
014804008	155	12	28	13	36	89	0.574193548387097
014901001	195	6	7	45	27	85	0.435897435897436
014901041	699	29	74	85	178	366	0.523605150214592
014901101	524	37	82	79	169	367	0.700381679389313
014902001	286	36	48	33	27	144	0.503496503496504
014903001	1115	57	46	339	184	626	0.561434977578475
014903005	176	3	8	60	25	96	0.545454545454545
014903043	1633	88	242	268	339	937	0.57379056950398
014903044	1576	106	210	216	331	863	0.54758883248731
014903045	1881	53	227	293	526	1099	0.584263689526847
014903102	160	14	28	20	46	108	0.675
014903103	173	11	34	19	36	100	0.578034682080925
014903104	215	33	46	16	30	125	0.581395348837209
014903108	503	13	48	62	261	384	0.763419483101392
014903109	339	15	41	46	153	255	0.752212389380531
014903111	462	11	61	55	182	309	0.668831168831169
014903116	421	14	49	59	167	289	0.68646080760095
014903117	425	25	74	46	140	285	0.670588235294118
014903118	471	38	72	46	122	278	0.590233545647558
014905001	85	4	4	32	15	55	0.647058823529412
014905041	283	11	41	52	82	186	0.657243816254417
014905101	152	2	19	21	57	99	0.651315789473684
014906001	859	86	65	177	31	359	0.417927823050058
014906002	1001	75	73	283	66	497	0.496503496503497
014906006	5	1	1	1	0	3	0.6
014906007	841	51	44	227	77	399	0.474435196195006
014906008	760	75	48	172	46	341	0.448684210526316
014906013	460	0	15	151	150	316	0.68695652173913
014906042	1239	113	217	191	170	691	0.55770782889427
014906043	1173	113	216	188	184	701	0.597612958226769
014906044	1151	98	195	160	162	615	0.534317984361425
014906046	1294	82	247	216	222	767	0.59273570324575
014906048	1154	129	216	166	123	634	0.549393414211439
014906049	1617	100	236	265	397	998	0.617192331478046
014906050	1094	85	207	181	164	637	0.582266910420475
014906051	1560	50	180	264	576	1070	0.685897435897436
014906052	1128	45	194	221	255	715	0.63386524822695
014906053	1851	93	269	318	418	1098	0.593192868719611
014906054	2309	116	330	351	566	1363	0.590298830662625
014906102	302	17	39	39	101	196	0.649006622516556
014906103	206	24	44	25	37	130	0.631067961165049
014906105	338	25	76	69	92	262	0.775147928994083
014906108	518	31	66	56	123	276	0.532818532818533
014906109	338	30	68	48	61	207	0.612426035502959
014906110	218	24	39	27	53	143	0.655963302752294
014906111	263	36	50	33	47	166	0.631178707224335
014906112	176	32	41	11	21	105	0.596590909090909
014906113	237	30	44	38	54	166	0.70042194092827
014906115	364	35	47	46	99	227	0.623626373626374
014906119	302	25	66	48	54	193	0.639072847682119
014906120	450	53	93	58	63	267	0.593333333333333
014906121	516	23	86	81	133	323	0.625968992248062
014906122	421	30	77	57	84	248	0.589073634204276
014906123	190	4	28	38	78	148	0.778947368421053
014906124	404	23	72	58	127	280	0.693069306930693
014906125	268	23	70	46	57	196	0.73134328358209
014906126	216	15	46	28	63	152	0.703703703703704
014906127	433	52	89	69	91	301	0.695150115473441
014906128	170	6	20	21	61	108	0.635294117647059
014906129	261	26	53	34	39	152	0.582375478927203
014906130	319	25	61	57	89	232	0.727272727272727
014906131	475	26	98	94	91	309	0.650526315789474
014906133	615	47	120	85	176	428	0.695934959349593
014906135	412	39	77	59	121	296	0.718446601941748
014906136	610	23	94	64	200	381	0.624590163934426
014906137	330	14	67	52	87	220	0.666666666666667
014906138	545	34	111	72	114	331	0.607339449541284
014906139	586	34	94	85	168	381	0.650170648464164
014906140	504	28	101	80	160	369	0.732142857142857
014907001	120	4	5	47	9	65	0.541666666666667
014907041	392	19	70	79	110	278	0.709183673469388
014907102	212	18	46	28	63	155	0.731132075471698
014908001	220	8	9	78	27	122	0.554545454545455
014908042	876	35	118	157	240	550	0.627853881278539
014908102	520	17	88	85	154	344	0.661538461538462
014909002	940	83	69	252	182	586	0.623404255319149
014909008	7	1	0	2	0	3	0.428571428571429
014909041	999	112	189	138	108	547	0.547547547547548
014909042	1280	165	239	157	163	724	0.565625
014909044	1168	120	202	179	189	690	0.590753424657534
014909102	175	16	32	14	39	101	0.577142857142857
014909107	338	25	59	62	83	229	0.677514792899408
014909110	320	43	58	31	68	200	0.625
014909111	442	60	91	44	77	272	0.615384615384615
014909114	225	24	70	33	35	162	0.72
