campus	cdc_campus	school_level	sln	campus_name	fall_enrollment	cumul_enrollment	black	latino	white	native_amer	asian	pac_isl	two_plus	ecodis	el	atrisk	number_of_campuses	disd	year_growth_rate	rel_perf_staar_only_scale	d1_staar_raw	EcoDisRange	ay	parent_pct_pos	student_survey_pct	student_survey_scale	extracurricular_participation_pct	extracurricular_participation_scale	discr_removal_rate	discr_removal_rateNEW	original_disc_adm_rem_g21	dpop_rate_enr	dpop_rate_cumul	fac_pct_pos	mot30_item_smooshed	mot30_n	mot30_pct_pos	mot25_item_smooshed	mot25_n	mot25_pct_pos	hyg4_item_smooshed	hyg4_n	hyg4_pct_pos	hyg8_item_smooshed	hyg8_n	hyg8_pct_pos	hyg37_item_smooshed	hyg37_n	hyg37_pct_pos	hyg38_item_smooshed	hyg38_n	hyg38_pct_pos	mot19_item_smooshed	mot19_n	mot19_pct_pos	mot42_item_smooshed	mot42_n	mot42_pct_pos	hyg43_item_smooshed	hyg43_n	hyg43_pct_pos	hyg44_item_smooshed	hyg44_n	hyg44_pct_pos	hyg46_item_smooshed	hyg46_n	hyg46_pct_pos	hyg13_item_smooshed	hyg13_n	hyg13_pct_pos	hyg14_item_smooshed	hyg14_n	hyg14_pct_pos	BeliefsandPriorities	CollegeGoingCulture	CultureofFeedbackandSupport	PositiveCultureandEnvironment	TeacherPrincipalTrust	TeacherTeacherTrust	growth_tests_denominator	BothAlllevelstoDidNotMeet_1	BothAlllevelstoApproaches1	BothAlllevelstoMeets_1	BothAlllevelstoMasters_NA	year_growth_num	excr_acct_weight	stu_survey_acct_weight	extracurricular_spending_all_funds	extracurricular_spending_general_fund	discretionary_admin_removals_n	removals	discipline_pop	y2	x2
057905001	057905001	Senior High	1	BRYAN ADAMS H S	2164	2320	12.2	79.2	5.6	0.4	1.9	0	0.6	87.9	36.2	65.2	1	y	67.3866090712743	86	50	87.1 to 88	2019	89.8	78	87	 0.788 	75	0.489795918367347	0.489795918367347	144	8.50277264325323	0.0793103448275862	59.9	Teachersexpectmoststudentsinthisschooltogotocollege.	130	66.9230769230769	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	110	53.6363636363636	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	147	53.0612244897959	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	149	44.2953020134228	Teachersinthisschooltrusteachother	111	63.0630630630631	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	111	63.0630630630631	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	148	49.3243243243243	Theprincipalhasconfidenceintheexpertiseoftheteachers.	110	57.2727272727273	Itrusttheprincipalathisorherword.	109	58.7155963302752	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	110	56.3636363636364	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	109	55.9633027522936	Iusuallylookforwardtoworkingeachdayatthisschool.	147	62.5850340136054	IbelieveIworkinanenvironmentofsupportandrespect.	147	53.0612244897959	61.7597292724196	65.3796653796654	54.4227886056972	53.7212449255751	58.3333333333333	65.7657657657658	926	64	65	265	230	624	0.05	0.05	197	191	144	294	184	32.826904	-96.680084
057905002	057905002	Senior High	2	W H ADAMSON H S	1619	1702	3.4	95.4	0.9	0.1	0.1	0	0.1	93.6	40.9	65.3	1	y	56.9014084507042	82	45	93.1 to 94	2019	87.0	68	70	 0.711 	72	0.420382165605096	0.420382165605096	66	6.4237183446572	0.0611045828437133	63	Teachersexpectmoststudentsinthisschooltogotocollege.	98	60.2040816326531	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	84	59.5238095238095	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	130	59.2307692307692	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	132	59.0909090909091	Teachersinthisschooltrusteachother	82	57.3170731707317	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	84	65.4761904761905	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	131	61.0687022900763	Theprincipalhasconfidenceintheexpertiseoftheteachers.	84	60.7142857142857	Itrusttheprincipalathisorherword.	84	63.0952380952381	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	83	56.6265060240964	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	84	59.5238095238095	Iusuallylookforwardtoworkingeachdayatthisschool.	132	68.9393939393939	IbelieveIworkinanenvironmentofsupportandrespect.	131	59.5419847328244	65.6160458452722	66.0409556313993	62.3015873015873	56.1883067577828	57.948717948718	70.059880239521	710	54	58	174	118	404	0.05	0.05	278	247	66	157	104	32.748534	-96.820422
057905003	057905003	Senior High	3	NEW TECH H S AT B F DARRELL H S	270	271	30.7	65.2	2.6	0	0.7	0	0.7	91.5	29.3	57.4	1	y	68.4210526315789	88	53	91.1 to 92	2019	91.1	70	73	 1.000 	100	0.236842105263158	0.236842105263158	-999	11.4814814814815	0.114391143911439	83.3	Teachersexpectmoststudentsinthisschooltogotocollege.	22	86.3636363636364	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	18	72.2222222222222	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	31	80.6451612903226	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	34	82.3529411764706	Teachersinthisschooltrusteachother	18	77.7777777777778	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	18	88.8888888888889	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	34	82.3529411764706	Theprincipalhasconfidenceintheexpertiseoftheteachers.	18	77.7777777777778	Itrusttheprincipalathisorherword.	18	77.7777777777778	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	18	77.7777777777778	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	18	88.8888888888889	Iusuallylookforwardtoworkingeachdayatthisschool.	34	82.3529411764706	IbelieveIworkinanenvironmentofsupportandrespect.	34	85.2941176470588	84.7908745247148	86.3636363636364	76.8518518518518	83.2352941176471	82.5396825396825	86.1111111111111	95	7	5	34	19	65	0.05	0.05	21	22	9	38	31	32.691528	-96.790989
057905005	057905005	Senior High	5	MOISES E MOLINA H S	2254	2370	3.3	95.3	0.9	0.1	0.2	0	0.1	87.5	32.6	62.5	1	y	68.8489968321014	84	47	87.1 to 88	2019	87.3	71	75	 0.744 	73	0.188571428571429	0.188571428571429	33	6.4773735581189	0.0616033755274262	52.7	Teachersexpectmoststudentsinthisschooltogotocollege.	122	57.3770491803279	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	111	48.6486486486487	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	166	54.2168674698795	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	169	49.112426035503	Teachersinthisschooltrusteachother	111	38.7387387387387	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	110	53.6363636363636	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	168	51.7857142857143	Theprincipalhasconfidenceintheexpertiseoftheteachers.	110	57.2727272727273	Itrusttheprincipalathisorherword.	111	49.5495495495495	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	111	49.5495495495495	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	110	49.0909090909091	Iusuallylookforwardtoworkingeachdayatthisschool.	168	58.9285714285714	IbelieveIworkinanenvironmentofsupportandrespect.	168	55.3571428571429	58.7883320867614	58.7431693989071	46.6867469879518	46.415770609319	49.4178525226391	56.2358276643991	947	60	68	278	246	652	0.05	0.05	188	175	33	175	146	32.723278	-96.910655
057905009	057905009	Senior High	9	LINCOLN HUMANITIES/COMMUNICATIONS	645	686	76.9	22	0.2	0.2	0	0.2	0.6	91.5	13.6	67.8	1	y	56.0714285714286	67	33	91.1 to 92	2019	80.2	68	70	 0.659 	70	0.37125748502994	0.37125748502994	62	18.9147286821705	0.177842565597668	71.6	Teachersexpectmoststudentsinthisschooltogotocollege.	25	76	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	18	72.2222222222222	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	44	72.7272727272727	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	45	71.1111111111111	Teachersinthisschooltrusteachother	18	61.1111111111111	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	18	55.5555555555556	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	44	72.7272727272727	Theprincipalhasconfidenceintheexpertiseoftheteachers.	17	76.4705882352941	Itrusttheprincipalathisorherword.	17	76.4705882352941	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	17	70.5882352941177	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	17	82.3529411764706	Iusuallylookforwardtoworkingeachdayatthisschool.	44	81.8181818181818	IbelieveIworkinanenvironmentofsupportandrespect.	44	75	76.271186440678	71.1409395973154	72.2222222222222	65.6036446469248	78.9915966386555	65.2777777777778	280	32	21	59	45	157	0.05	0.05	583	526	62	167	122	32.754724	-96.750313
057905012	057905012	Senior High	12	L G PINKSTON H S	1283	1432	26.3	70.8	1.5	0.5	0.2	0.1	0.5	96.1	38.6	73.8	1	y	50.1611170784103	67	33	96.1 to 97	2019	79.5	70	73	 0.720 	72	0.426929392446634	0.426929392446634	260	21.667965705378	0.194134078212291	71.7	Teachersexpectmoststudentsinthisschooltogotocollege.	78	69.2307692307692	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	64	75	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	108	75	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	110	65.4545454545455	Teachersinthisschooltrusteachother	64	70.3125	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	64	67.1875	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	106	62.2641509433962	Theprincipalhasconfidenceintheexpertiseoftheteachers.	64	76.5625	Itrusttheprincipalathisorherword.	64	75	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	64	64.0625	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	63	73.015873015873	Iusuallylookforwardtoworkingeachdayatthisschool.	106	73.5849056603774	IbelieveIworkinanenvironmentofsupportandrespect.	107	68.2242990654206	78.0711825487945	75.0537634408602	73.8219895287958	56.1913696060037	72.4832214765101	74.609375	931	135	123	123	86	467	0.05	0.05	316	302	260	609	278	32.781423	-96.858555
057905013	057905013	Senior High	13	FRANKLIN D ROOSEVELT H S	727	830	41	57.1	1	0	0	0.6	0.4	94.2	32.3	76.2	1	y	53.8983050847458	67	33	94.1 to 95	2019	80.8	66	65	 0.770 	74	0.5	0.5	37	7.8404401650619	0.0686746987951807	68.1	Teachersexpectmoststudentsinthisschooltogotocollege.	30	63.3333333333333	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	25	60	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	44	72.7272727272727	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	45	60	Teachersinthisschooltrusteachother	24	70.8333333333333	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	25	76	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	43	55.8139534883721	Theprincipalhasconfidenceintheexpertiseoftheteachers.	25	64	Itrusttheprincipalathisorherword.	25	68	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	25	72	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	24	75	Iusuallylookforwardtoworkingeachdayatthisschool.	43	79.0697674418605	IbelieveIworkinanenvironmentofsupportandrespect.	43	65.1162790697674	75	66.1111111111111	62.4161073825503	58.974358974359	69.5402298850575	76.530612244898	295	29	23	76	31	159	0.05	0.05	387	384	37	74	57	32.741510	-96.795774
057905014	057905014	Senior High	14	W W SAMUELL H S	1941	2102	17.1	80.7	1.1	0.3	0.2	0.2	0.6	91.7	47.1	76.4	1	y	57.7669902912621	73	37	91.1 to 92	2019	85.3	70	73	 0.498 	57	0.307692307692308	0.307692307692308	128	13.2921174652241	0.122740247383444	55.5	Teachersexpectmoststudentsinthisschooltogotocollege.	126	51.5873015873016	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	112	52.6785714285714	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	159	56.6037735849057	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	161	53.416149068323	Teachersinthisschooltrusteachother	112	59.8214285714286	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	112	63.3928571428571	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	159	42.7672955974843	Theprincipalhasconfidenceintheexpertiseoftheteachers.	112	51.7857142857143	Itrusttheprincipalathisorherword.	112	50	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	111	45.045045045045	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	112	49.1071428571429	Iusuallylookforwardtoworkingeachdayatthisschool.	159	62.8930817610063	IbelieveIworkinanenvironmentofsupportandrespect.	159	50.9433962264151	59.4637223974763	61.8857901726428	54.4095665171898	39.5715185885318	49.6807151979566	67.6339285714286	824	106	64	182	124	476	0.05	0.05	205	192	128	416	258	32.745573	-96.667731
057905015	057905015	Senior High	15	SEAGOVILLE H S	1514	1645	18.4	69.7	10.4	0.3	0.1	0.3	0.7	86.2	35.6	70.5	1	y	63.0744849445325	78	40	86.1 to 87	2019	80.9	67	69	 0.794 	75	0.5	0.5	116	10.7661822985469	0.0990881458966565	59.7	Teachersexpectmoststudentsinthisschooltogotocollege.	87	55.1724137931034	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	74	63.5135135135135	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	118	57.6271186440678	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	119	53.781512605042	Teachersinthisschooltrusteachother	74	51.3513513513513	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	74	55.4054054054054	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	119	50.4201680672269	Theprincipalhasconfidenceintheexpertiseoftheteachers.	74	78.3783783783784	Itrusttheprincipalathisorherword.	74	66.2162162162162	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	74	63.5135135135135	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	74	66.2162162162162	Iusuallylookforwardtoworkingeachdayatthisschool.	119	63.0252100840336	IbelieveIworkinanenvironmentofsupportandrespect.	119	58.8235294117647	61.6438356164384	59.6928982725528	60.8597285067873	47.5989890480202	66.9902912621359	61.1486486486487	631	63	61	192	82	398	0.05	0.05	234	234	116	232	163	32.677602	-96.583690
057905016	057905016	Senior High	16	SOUTH OAK CLIFF H S	1073	1250	68	30	0.5	0.1	0.7	0	0.7	94.7	18.5	70.6	1	y	62.6450116009281	72	36	94.1 to 95	2019	84.8	67	69	 0.615 	66	0.538002980625931	0.538002980625931	361	31.314072693383	0.2688	69	Teachersexpectmoststudentsinthisschooltogotocollege.	66	65.1515151515152	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	54	68.5185185185185	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	89	70.7865168539326	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	90	65.5555555555556	Teachersinthisschooltrusteachother	54	62.962962962963	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswithotherteachers."	54	50	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	87	52.8735632183908	Theprincipalhasconfidenceintheexpertiseoftheteachers.	54	70.3703703703704	Itrusttheprincipalathisorherword.	54	68.5185185185185	"It'sOKinthisschooltodiscussfeelings,worries,andfrustrationswiththeprincipal."	53	64.1509433962264	Theprincipallooksoutforthepersonalwelfareofthefacultymembers.	54	68.5185185185185	Iusuallylookforwardtoworkingeachdayatthisschool.	86	66.2790697674419	IbelieveIworkinanenvironmentofsupportandrespect.	88	63.6363636363636	77.574047954866	71.7171717171717	69.1358024691358	59.6551724137931	70.8222811671088	64.8148148148148	431	38	35	128	69	270	0.05	0.05	361	355	361	671	336	32.699658	-96.815220
