sln	cdc	campus_name	item	responses_n	CampusPercentPositiveS2019	DistrictScaleScoreMean	DistrictScaleScorePercentile	DistrictQuintileScore	GroupRank	FeederPatternPercentPositive	MagnetPercentPositive	DistrictPercentPositive	CampusPercentPositiveF2018	CampusPercentPositiveS2018	CampusPercentPositiveF2017	CampusPercentPositiveS2017	CampusPercentPositiveF2016	CampusPercentPositiveS2016	CampusPercentPositiveF2015	CampusPercentPositiveS2015	CampusPercentPositiveF2014	CampusPercentPositiveS2014	CampusPercentPositiveF2013	CampusPercentPositiveS2013	CampusPercentPositiveF2012
1	057905001	BryanAdamsHS	BeliefsandPriorities	NULL	61.7597292724196	3.57722914669223	5.24511512381472	1	49	78.834618680377	87.4681933842239	79.1883622819353	72.7025187202178	71.2202609363008	71.1041503523884	62.2731614135626	69.4915254237288	63.7192118226601	61.1916548797737	58.4	65.1	51	57.5	52.7	49
1	057905001	BryanAdamsHS	College-GoingCulture	NULL	65.3796653796654	3.62230769230769	3.72696454474508	1	46	86.456400742115	94.818279956819	83.6301979858875	70.7985697258641	72.3880597014925	72.7741935483871	65.0943396226415	67.1195652173913	66.7301587301587	61.6049382716049	64.7	61.2	49	52.6	NULL	NULL
1	057905001	BryanAdamsHS	CultureofFeedbackandSupport	NULL	54.4227886056972	3.3296130952381	12.7110108481607	1	47	71.2154453707766	78.1589958158996	70.1126789158461	57.0451436388509	65.1925820256776	59.3093093093093	50.5454545454545	54.5901639344262	60.8	56.0606060606061	53.5	52	38.5	44	52.8	42
1	057905001	BryanAdamsHS	Disciplineisenforcedconsistentlyandeffectivelyatmycampus.	148	48.6486486486487	NULL	NULL	NULL	NULL	59.7955706984668	74.8322147651007	59.8618281202551	62.1621621621622	42.3312883435583	45	30	41.4965986394558	37.9310344827586	37.6237623762376	28.8	39	21.8	23.6	14.4	22.1
1	057905001	BryanAdamsHS	Howsimilarareyourschool'sprioritiestowhatyouthinktheyshouldbe?*	149	44.2953020134228	NULL	NULL	NULL	NULL	70.9677419354839	84.1402337228714	71.687608155895	62.5	62.1951219512195	59.0062111801242	49.2424242424242	61.4864864864865	52.8169014084507	48.9583333333333	50.7	52.6	41.3	41.3	35.2	33.7
1	057905001	BryanAdamsHS	IamsatisfiedwiththerecognitionIreceivefordoingagoodjob.	148	49.3243243243243	NULL	NULL	NULL	NULL	66.0988074957411	79.6638655462185	68.836891286181	57.8378378378378	53.9877300613497	52.7950310559006	48.4615384615385	53.4246575342466	52.4475524475524	50	45.3	48.3	32.7	37.3	34.4	NULL
1	057905001	BryanAdamsHS	IbelieveIworkinanenvironmentofsupportandrespect.	147	53.0612244897959	NULL	NULL	NULL	NULL	72.06132879046	84.8484848484848	72.5085388994307	67.5675675675676	61.3496932515337	62.7329192546584	56.1538461538462	60.2739726027397	50.3448275862069	56.4356435643564	51.1	54.7	32.7	41.8	38.4	39.4
1	057905001	BryanAdamsHS	"IfIwereofferedacomparablepositionwithsimilarpayandbenefitsatanotherdistrict,IwouldstaywithDallasISD."	148	44.5945945945946	NULL	NULL	NULL	NULL	63.3105802047782	75.4621848739496	65.5224787363305	49.1891891891892	57.0552147239264	54.0880503144654	50	50.6849315068493	53.7931034482759	39.6039603960396	38.4	38.5	30	29.1	35.2	NULL
1	057905001	BryanAdamsHS	Ihavesufficientopportunitiesandencouragementtodevelopmyleadershippotential.	110	53.6363636363636	NULL	NULL	NULL	NULL	68.8654353562005	80.1507537688442	70.109756097561	56.198347107438	64.957264957265	62.1621621621622	50.5494505494505	56.4356435643564	62.3762376237624	57.1428571428571	45.9	46.5	37	39.5	46.9	38.5
1	057905001	BryanAdamsHS	IhavethesupportIneedfromcampusleadershiptodomyjobwell.	147	53.0612244897959	NULL	NULL	NULL	NULL	71.6262975778547	83.448275862069	74.0124261716653	64.4808743169399	62.962962962963	62.5	51.5151515151515	58.7837837837838	56.25	53.5353535353535	48.9	54.7	41.4	48.6	50.8	47.1
